#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
1,"01 NCCR OFF vs. SCST (09/02/23), Play 001",1,,1,-34,0,10,-2,,11,DAFFY RT Y-IN IRON,GUN,,DAFFY,,,,,IN-Y,,,,IRON,,IRON-STEEL,,,,,,,R,,,4,13,N
2,"01 NCCR OFF vs. SCST (09/02/23), Play 002",2,,1,-32,2,12,-3,,11,DOLPHIN RT FLY S. ERASER,GUN,,DOLPHIN,,,,,,,FLY,,S. ERASER,,PENCIL-PAPER,ERASER,ERASER,,,,,P,,,4,13,N
3,"01 NCCR OFF vs. SCST (09/02/23), Play 003",3,,1,-29,3,15,11,,11,DAFFY LT THURSDAY (Y-IN JILL MARS ANKLE),GUN,,DAFFY,,,,,IN-Y,,,JILL-JACK,JILL MARS ANKLE,THURSDAY,,MARS ANKLE,MARS,ANKLE,,,,P,,,4,10,N
4,"01 NCCR OFF vs. SCST (09/02/23), Play 004",4,,2,-25,0,10,-2,,11,(U) FIB DBL RT OFF H-JET WOLF GARBAGE Z-CRACK,UNDER,X,DBL,OFF,,,,JET-H,,,,WOLF GARBAGE Z-CRACK,,WOLF-JAGUAR SWEEP,,,,,,CRACK-Z,R,,,4,10,N
5,"01 NCCR OFF vs. SCST (09/02/23), Play 005",5,,2,-23,2,12,4,,11F,DUO RT NASTY SPIDER CUT HERO,GUN,,DUO,,NASTY,,,,,,,SPIDER CUT HERO,,BEETLE-SPIDER CUT,HERO,HERO,,,,,R,,,4,13,N
6,"01 NCCR OFF vs. SCST (09/02/23), Play 006",6,,,-27,3,8,,,11,BUMP TROLLY LT THURSDAY,GUN,,TROLLY,,,,,,,BUMP,,THURSDAY,THURSDAY,,,,,,,,X,,PENALTY,4,,N
7,"01 NCCR OFF vs. SCST (09/02/23), Play 007",7,,2,-22,3,13,9,,11,TROLLY LT Y-PLANE BEETLE CUT,GUN,,TROLLY,,,,,PLANE-Y,,,,BEETLE CUT,,BEETLE-SPIDER CUT,,,,,,,R,,,4,13,N
8,"01 NCCR OFF vs. SCST (09/02/23), Play 008",8,,3,-10,0,10,,,21,(U) TRIPS LT Z-CAN S. PITT,UNDER,,TRIPS,,,,,CAN-Z,,,,S. PITT,,PITT,,,,,,,X,,PENALTY,4,28,N
9,"01 NCCR OFF vs. SCST (09/02/23), Play 009",9,,3,-7,2,13,5,,21,(U) TRIPS LT Z-CAN S. PITT,UNDER,,TRIPS,,,,,CAN-Z,,,,S. PITT,,PITT,,,,,,,R,,,4,28,N
10,"01 NCCR OFF vs. SCST (09/02/23), Play 010",10,,3,-12,3,8,,,11,BUMP DUAL RT CLASSY ROCK H-RAILROAD,GUN,,DUAL,,CLASSY,,,,,BUMP,LOAD-ROCK,ROCK H-RAILROAD,,,RAILROAD-H,RAILROAD-H,,,,,P,INT,INT,4,10,N
11,"01 NCCR OFF vs. SCST (09/02/23), Play 011",11,,4,-31,0,10,4,,21,STEP DEUCE RT SLOT BEETLE SLICE,GUN,,DEUCE,,SLOT,,,STEP,,,,BEETLE SLICE,,BEETLE-SPIDER SLICE,,,,,,,R,,,4,1,Y
12,"01 NCCR OFF vs. SCST (09/02/23), Play 012",12,,4,-35,2,6,14,,21,FLEX RT H-IN N. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,N. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,1,Y
13,"01 NCCR OFF vs. SCST (09/02/23), Play 013",13,,4,-49,1,10,12,,21,FLEX RT H-IN N. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,N. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,1,Y
14,"01 NCCR OFF vs. SCST (09/02/23), Play 014",14,,4,39,1,10,7,,21,FLEX RT H-IN N. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,N. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,13,Y
15,"01 NCCR OFF vs. SCST (09/02/23), Play 015",15,#35 BLOCK,4,32,2,3,22,,21,FLEX RT H-IN BEETLE STRAIGHT CRACK,GUN,,FLEX,,,,,IN-H,,,,BEETLE STRAIGHT CRACK,,BEETLE-SPIDER STRAIGHT,,,,,,CRACK,R,,,4,4,Y
16,"01 NCCR OFF vs. SCST (09/02/23), Play 016",16,,4,10,1,10,7,,21,DEUCE RT Z-PLANE LEECH Z-SLICE,GUN,,DEUCE,,,,,PLANE-Z,,,,LEECH Z-SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,13,Y
17,"01 NCCR OFF vs. SCST (09/02/23), Play 017",17,,4,3,2,3,1,,21,DEUCE RT Z-PLANE LEECH Z-SLICE,GUN,,DEUCE,,,,,PLANE-Z,,,,LEECH Z-SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,1,N
18,"01 NCCR OFF vs. SCST (09/02/23), Play 018",18,,4,2,3,2,,,21,DEUCE RT SLOT THURSDAY,GUN,,DEUCE,,SLOT,,,,,,,THURSDAY,THURSDAY,,,,,,,,X,DEF PENALTY,,4,19,Y
19,"01 NCCR OFF vs. SCST (09/02/23), Play 019",19,,4,1,3,1,1,,12,(PEEK) DEUCE RT SLOT LION OLY,GUN,,DEUCE,,SLOT,,,,,,,LION OLY,PEEK,BEAR-LION OMAR,,,,,,,R,,,4,4,Y
20,"01 NCCR OFF vs. SCST (09/02/23), Play 020",20,,5,-25,0,10,8,,21,DEUCE LT SLOT LEECH MIKE,GUN,,DEUCE,,SLOT,,,,,,,LEECH MIKE,,ROACH-LEECH MIKE,,,,,,,R,,,4,1,Y
21,"01 NCCR OFF vs. SCST (09/02/23), Play 021",21,,5,-33,2,2,1,,21,FLEX LT H-IN SPIDER STRAIGHT CRACK,GUN,,FLEX,,,,,IN-H,,,,SPIDER STRAIGHT CRACK,,BEETLE-SPIDER STRAIGHT,,,,,,CRACK,P,,,4,81,N
22,"01 NCCR OFF vs. SCST (09/02/23), Play 022",22,,5,-34,3,1,16,,21,NINER BUG,GUN,,TRAIN,,,BILLY,,,,,,NINER BUG,NINER,BEETLE-SPIDER QK,,,,,,,R,,,4,1,Y
23,"01 NCCR OFF vs. SCST (09/02/23), Play 023",23,,5,50,1,10,,,12,DEUCE RT SLOT S. CALI GRONK GOAT,GUN,,DEUCE,,SLOT,,,,,,CALI,S. CALI GRONK GOAT,,,GRONK GOAT,GRONK,GOAT,,,,X,,PENALTY,4,4,N
24,"01 NCCR OFF vs. SCST (09/02/23), Play 024",24,,5,50,1,10,-2,,21,DEUCE RT SLOT ROACH MIKE,GUN,,DEUCE,,SLOT,,,,,,,ROACH MIKE,,ROACH-LEECH MIKE,,,,,,,R,,,4,28,N
25,"01 NCCR OFF vs. SCST (09/02/23), Play 025",25,,5,-48,2,12,,,11,DAFFY RT FLY LOAD SLOP R-SWING,GUN,,DAFFY,,,,,,,FLY,LOAD-ROCK,LOAD SLOP R-SWING,,,SLOP SWING-R,SLOP,SWING-R,,,,X,,PENALTY,4,28,N
26,"01 NCCR OFF vs. SCST (09/02/23), Play 026",26,,5,-40,2,20,15,,11,DUAL LT OFF NASTY STEEL Z-POP,GUN,,DUAL,OFF,NASTY,,,,,,,STEEL Z-POP,,IRON-STEEL,,,,,POP-Z,,P,,,4,19,Y
27,"01 NCCR OFF vs. SCST (09/02/23), Play 027",27,,5,45,3,5,,,11,DOLPHIN LT THURSDAY,GUN,,DOLPHIN,,,,,,,,,THURSDAY,THURSDAY,,,,,,,,X,DEF PENALTY,,4,,Y
28,"01 NCCR OFF vs. SCST (09/02/23), Play 028",28,,5,30,1,10,10,,21,FLEX LT H-IN S. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,S. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,1,Y
29,"01 NCCR OFF vs. SCST (09/02/23), Play 029",29,,5,20,1,10,14,,21,FIB FLEX RT H-IN BEETLE STRAIGHT CRACK,GUN,X,FLEX,,,,,IN-H,,,,BEETLE STRAIGHT CRACK,,BEETLE-SPIDER STRAIGHT,,,,,STRAIGHT,CRACK,R,,,4,4,Y
30,"01 NCCR OFF vs. SCST (09/02/23), Play 030",30,,5,6,1,6,6,,21,DEUCE RT Z-PLANE LEECH Z-SLICE,GUN,,DEUCE,,,,,PLANE-Z,,,,LEECH Z-SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,1,Y
31,"01 NCCR OFF vs. SCST (09/02/23), Play 031",31,#86 HARD RUN,6,-18,0,10,10,,12,FLEX LT H-PLANE LEECH STREET,GUN,,FLEX,,,,,PLANE-H,,,,LEECH STREET,2 MINUTE,ROACH-LEECH STREET,,,,,STREET,,P,,,4,86,Y
32,"01 NCCR OFF vs. SCST (09/02/23), Play 032",32,,6,-28,1,10,5,,12,FLANK RT SQUEEZE QK JACK SPACING X-STICK,GUN,,FLANK,,SQUEEZE,,,,,,JILL-JACK QK,QK JACK SPACING X-STICK,2 MINUTE,,SPACING STICK-X,SPACING,STICK-X,,,,P,,,4,81,Y
33,"01 NCCR OFF vs. SCST (09/02/23), Play 033",33,,6,-33,2,5,16,,11,DUAL RT OFF F-JACK BOOT ICE,GUN,,DUAL,OFF,,,,,,,JILL-JACK,F-JACK BOOT ICE,2 MINUTE,,BOOT ICE,BOOT,ICE,,,,P,,,4,19,Y
34,"01 NCCR OFF vs. SCST (09/02/23), Play 034",34,,6,-49,1,10,0,,11,DUAL RT JACK Y-PUNCH DANCER,GUN,,DUAL,,,,,,,,JILL-JACK,JACK Y-PUNCH DANCER,2 MINUTE,,PUNCH-Y DANCER,PUNCH-Y,DANCER,,,,P,,,4,19,N
35,"01 NCCR OFF vs. SCST (09/02/23), Play 035",35,,6,-49,2,10,8,,11,DOLPHIN RT FLY S. ERASER,GUN,,DOLPHIN,,,,,,,FLY,,S. ERASER,2 MINUTE,PENCIL-PAPER,ERASER,ERASER,,,,,R,,,4,4,Y
36,"01 NCCR OFF vs. SCST (09/02/23), Play 036",36,HELL YEAH,6,43,3,2,4,,11,NINER BUG,GUN,,TRAIN,,,BILLY,,,,,,NINER BUG,NINER,BEETLE-SPIDER QK,,,,,,,R,,,4,13,Y
37,"01 NCCR OFF vs. SCST (09/02/23), Play 037",37,,6,39,1,10,15,,11,DUAL RT OFF F-JACK BOOT ICE,GUN,,DUAL,OFF,,,,,,,JILL-JACK,F-JACK BOOT ICE,2 MINUTE,,BOOT ICE,BOOT,ICE,,,,P,,,4,19,Y
38,"01 NCCR OFF vs. SCST (09/02/23), Play 038",38,,6,24,1,10,-6,,11,Z-TANGO RT ROCK SMASH CUBE,GUN,,TANGO,,,,,,,,LOAD-ROCK,ROCK SMASH CUBE,2 MINUTE,,SMASH CUBE,SMASH,CUBE,,,,P,,SACK,4,4,N
39,"01 NCCR OFF vs. SCST (09/02/23), Play 039",39,,6,30,2,16,3,,11,BOOM,GUN,,DICE,,,,,,,,JILL-JACK,BOOM,2 MINUTE,,BOOM,BOOM,,,,,P,,,4,18,N
40,"01 NCCR OFF vs. SCST (09/02/23), Play 040",40,,6,27,3,13,0,,11,TROLLY LT ROCK PIN SPROLES,GUN,,TROLLY,,,,,,,,LOAD-ROCK,ROACK PIN SPROLES,2 MINUTE,,PIN SPROLES,PIN,SPROLES,,,,P,DROP,DROP,4,13,N
41,"01 NCCR OFF vs. SCST (09/02/23), Play 041",41,,7,-15,0,10,2,,12,DEUCE LT SLOT LEECH,GUN,,DEUCE,,SLOT,,,,,,,LEECH,,ROACH-LEECH,,,,,,,R,,,4,13,N
42,"01 NCCR OFF vs. SCST (09/02/23), Play 042",42,,7,-17,2,8,-6,,12,DEUCE LT SLOT LEECH STRAIGHT,GUN,,DEUCE,,SLOT,,,,,,,LEECH STRAIGHT,,ROACH-LEECH STRAIGHT,,,,,STRAIGHT,,R,,,4,4,N
43,"01 NCCR OFF vs. SCST (09/02/23), Play 043",43,,7,-11,3,14,7,,11,TROLLY RT THURSDAY (Y-PLANE SPIDER CUT),GUN,,TROLLY,,,,,PLANE-Y,,,,SPIDER CUT,THURSDAY,BEETLE-SPIDER CUT,,,,,,,R,,,4,0,N
44,"01 NCCR OFF vs. SCST (09/02/23), Play 044",44,,8,-3,0,10,0,,22-Z,NEAR RT TITE ROACH SLICE,UNDER,,NEAR,,TITE,,,,,,,ROACH SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,13,N
45,"01 NCCR OFF vs. SCST (09/02/23), Play 045",45,,8,-3,2,10,1,,22-Z,NEAR RT TITE ROACH SLICE,UNDER,,NEAR,,TITE,,,,,,,ROACH SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,1,N
46,"01 NCCR OFF vs. SCST (09/02/23), Play 046",46,,8,-4,3,9,-3,,12,FLANK LT THURSDAY (LEECH CUT),GUN,,FLANK,,,,,,,,,LEECH CUT,THURSDAY,ROACH-LEECH CUT,,,,,,,R,,,4,1,N
47,"01 NCCR OFF vs. SCST (09/02/23), Play 047",47,,9,-35,0,10,3,,11,TRAFFIX LT OFF X-JET WOLF BROOM,GUN,,TRAFFIX,OFF,,,,JET-X,,,,WOLF BROOM,,WOLF-JAGUAR SWEEP,,,,,,,P,,,4,12,N
48,"01 NCCR OFF vs. SCST (09/02/23), Play 048",48,,9,-38,2,7,7,,11,FIB DBL RT H-BOMBER IRON,GUN,X,DBL,,,,,BOMBER-H,,,,IRON,,IRON-STEEL,,,,,,,R,,,4,0,Y
49,"01 NCCR OFF vs. SCST (09/02/23), Play 049",49,,9,-45,1,10,7,,11,(PEEK) Z-TANGO LT SPIDER R-SWEEP Z-BUBBLE (CK SPIDER Z-BUBBLE),GUN,,TANGO,,,,,,,,,SPIDER Z-BUBBLE,PEEK,BEETLE-SPIDER,,,,,,BUBBLE-Z,R,,,4,0,Y
50,"01 NCCR OFF vs. SCST (09/02/23), Play 050",50,#0 HARD RUN,9,48,2,3,17,,11F,Z-TOXIC RT Y-CREEP WOLF BOB,GUN,,TOXIC,,,,,CREEP-Y,,,,WOLF BOB,,WOLF-JAGUAR BOB,,,,,,,R,,,4,0,Y
51,"01 NCCR OFF vs. SCST (09/02/23), Play 051",51,#35 BLOCK,9,31,1,10,2,,11F,Z-TOXIC LT SPIDER MIKE,GUN,,TOXIC,,,,,,,,,SPIDER MIKE,,BEETLE-SPIDER MIKE,,,,,,,R,,,4,1,N
52,"01 NCCR OFF vs. SCST (09/02/23), Play 052",52,,9,29,2,8,5,,11,(U) H-TANGO LT BILLY H-JET JAGUAR GARBAGE,UNDER,,TANGO,,,BILLY,,JET-H,,,,JAGUAR GARBAGE,,WOLF-JAGUAR SWEEP,,,,,,,R,,,4,10,Y
53,"01 NCCR OFF vs. SCST (09/02/23), Play 053",53,,9,24,3,3,2,,11,NINER BUG,GUN,,TRAIN,,,BILLY,,,,,,NINER BUG,NINER,BEETLE-SPIDER QK,,,,,,,R,,,4,0,N
54,"01 NCCR OFF vs. SCST (09/02/23), Play 054",54,HELL YEAH,9,21,4,1,2,,22-Z,DOT LT SLOT Z-IN SNEAKER,UNDER,,DOT,,SLOT,,,,,,,SNEAKER,,SNEAKER,,,,,,,R,,,4,4,Y
55,"01 NCCR OFF vs. SCST (09/02/23), Play 055",55,,9,19,1,10,5,,12,FLEX LT H-IN S. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,S. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,0,Y
56,"01 NCCR OFF vs. SCST (09/02/23), Play 056",56,,9,14,2,5,1,,12,FLEX LT H-PLANE LEECH STREET,GUN,,FLEX,,,,,PLANE-H,,,,LEECH STREET,,ROACH-LEECH STREET,,,,,STREET,,R,,,4,0,N
57,"01 NCCR OFF vs. SCST (09/02/23), Play 057",57,,9,13,3,4,-1,,12,YAHOO FLANK LT THURSDAY (QK JILL SPACING X-STICK),GUN,,FLANK,,,,,YAHOO,,,JILL-JACK QK,QK JILL SPACING X-STICK,THURSDAY,,SPACING SLAY,SPACING,,,,,P,,SACK,4,4,N
58,"01 NCCR OFF vs. SCST (09/02/23), Play 058",58,,10,50,0,10,3,,21,(U) TRIPS RT Z-CAN N. PITT,UNDER,,TRIPS,,,,,CAN-Z,,,,N. PITT,,PITT,,,,,,,R,,,4,28,N
59,"01 NCCR OFF vs. SCST (09/02/23), Play 059",59,,10,47,2,7,11,,21,FIB THIEF LT BILLY Z-TOPGUN LEECH CUT X-STICK,GUN,X,THIEF,,,BILLY,,TOPGUN-Z,,,,LEECH CUT X-STICK,,ROACH-LEECH CUT,STICK-X,STICK-X,,,,,P,,,4,2,Y
60,"01 NCCR OFF vs. SCST (09/02/23), Play 060",60,,10,36,1,10,0,,12,DEUCE RT SLOT N. TEXAS Z-SKI,GUN,,DEUCE,,SLOT,,,,,,TEXAS,N. TEXAS Z-SKI,,,SKI-Z,SKI-Z,,,,,P,DROP,DROP,4,10,N
61,"01 NCCR OFF vs. SCST (09/02/23), Play 061",61,#19 BLOCK,10,36,2,10,36,,12,(PEEK) FLANK RT H-CREEP ROACH STREET,GUN,,FLANK,,,,,CREEP-H,,,,ROACH STREET,PEEK,ROACH-LEECH STREET,,,,,STREET,,P,,,4,86,Y
62,"01 NCCR OFF vs. SCST (09/02/23), Play 062",62,,11,22,0,10,1,,21,(U) TRIPS LT Z-CAN S. PITT,UNDER,,TRIPS,,,,,CAN-Z,,,,S. PITT,,PITT,,,,,,,R,,,4,0,N
63,"01 NCCR OFF vs. SCST (09/02/23), Play 063",63,,11,21,2,9,0,,21,FLANK RT SQUEEZE QK JACK SPACING X-STICK,GUN,,FLANK,,SQUEEZE,,,,,,JILL-JACK QK,QK JACK SPACING X-STICK,,,SPACING STICK-X,SPACING,,,,,P,,,4,22,N
64,"01 NCCR OFF vs. SCST (09/02/23), Play 064",64,,11,21,3,9,12,,11,DAFFY RT FLY LOAD SLOP R-SWING,GUN,,DAFFY,,,,,,,FLY,LOAD-ROCK,LOAD SLOP R-SWING,,,SLOP SWING-R,SLOP,,,,,P,,,4,4,Y
65,"01 NCCR OFF vs. SCST (09/02/23), Play 065",65,,11,9,1,9,3,,11,(PEEK) TRAIN LT OFF LION OLY,GUN,,TRAIN,OFF,,,,,,,,LION OLY,PEEK,BEAR-LION OMAR,,,,,,,R,,,4,4,N
66,"01 NCCR OFF vs. SCST (09/02/23), Play 066",66,,11,6,2,6,-1,,12,FLANK LT H-CREEP LEECH STREET,GUN,,FLANK,,,,,CREEP-H,,,,LEECH STREET,,ROACH-LEECH STREET,,,,,STREET,,R,,,4,28,N
67,"01 NCCR OFF vs. SCST (09/02/23), Play 067",67,,11,7,3,7,,,12,FIB DEUCE RT SLOT BEETLE STREET,GUN,X,DEUCE,,SLOT,,,,,,,BEETLE STREET,,BEETLE-SPIDER STREET,,,,,STREET,,P,INT,INT,4,17,N
68,"01 NCCR OFF vs. SCST (09/02/23), Play 068",68,,12,-41,0,10,8,,11,Z-TOXIC LT Y-CREEP JAGUAR BOB,GUN,,TOXIC,,,,,CREEP-Y,,,,JAGUAR BOB,4 MINUTE,WOLF-JAGUAR BOB,,,,,,,R,,,11,13,Y
69,"01 NCCR OFF vs. SCST (09/02/23), Play 069",69,,12,-49,2,2,5,,11,Z-TOXIC LT Y-CREEP JAGUAR BOB,GUN,,TOXIC,,,,,CREEP-Y,,,,JAGUAR BOB,4 MINUTE,WOLF-JAGUAR BOB,,,,,,,R,,,11,13,Y
70,"01 NCCR OFF vs. SCST (09/02/23), Play 070",70,,12,46,1,10,-2,,,VICTORY,,,,,,,,,,,,VICTORY,4 MINUTE,,,,,,,,X,,,11,,N
71,"01 NCCR OFF vs. MDUN (09/09/23), Play 001",1,,1,-25,0,10,4,,11,TRAIN LT OX FLASH AKRON EDGE,GUN,,TRAIN,,OX,,,,,,,AKRON EDGE,,CLEVELAND-AKRON EDGE,,,,,,,R,,,4,4,Y
72,"01 NCCR OFF vs. MDUN (09/09/23), Play 002",2,,1,-29,2,6,6,,23,(P) FIB Z-TANGO LT BILLY S. CINCY EDGE Z-BOSS,PISTOL,X,TANGO,,,BILLY,,,,,,S. CINCY EDGE Z-BOSS,,CINCY EDGE BOSS,,,,,,BOSS-Z,R,,,4,1,Y
73,"01 NCCR OFF vs. MDUN (09/09/23), Play 003",3,,1,-35,1,10,9,,21,TROUBLE LT H-IN S. PITT COVER Z-CRACK,GUN,,TROUBLE,,,,,IN-H,,,,S. PITT COVER Z-CRACK,,PITT COVER,,,,,,CRACK-Z,R,,,4,0,Y
74,"01 NCCR OFF vs. MDUN (09/09/23), Play 004",4,,1,-44,2,1,8,,21,NINER THURSDAY (CK. BEETLE FOLLOW),GUN,,TRAIN,,,BILLY,,,,,,BEETLE FOLLOW,THURSDAY,BEETLE-SPIDER FOLLOW,,,,,,,R,,,4,4,Y
75,"01 NCCR OFF vs. MDUN (09/09/23), Play 005",5,,1,48,1,10,48,,21,H-TORCH RT H-IN S. GOLFER SAIL,GUN,,TORCH,,,,,IN-H,,,GOLFER,S. GOLFER SAIL,,,GOLFER SAIL,GOLFER,SAIL,,,,P,C,,4,12,Y
76,"01 NCCR OFF vs. MDUN (09/09/23), Play 006",6,,2,-40,0,10,9,,12,(U) Y-IN FAR RT NASTY N. CINCY,UNDER,,FAR,,,,,IN-Y,,,,N. CINCY,,CINCY,,,,,,,R,,,4,1,Y
77,"01 NCCR OFF vs. MDUN (09/09/23), Play 007",7,,2,-49,2,1,3,,12,TRIPS RT OX BEETLE FOLLOW,GUN,,TRIPS,,OX,,,,,,,BEETLE FOLLOW,,BEETLE-SPIDER FOLLOW,,,,,,,R,,,4,4,Y
78,"01 NCCR OFF vs. MDUN (09/09/23), Play 008",8,,2,48,1,10,-1,,12,SHUFFLE DEUCE RT SLOT N. CINCY,GUN,,DEUCE,,SLOT,,,,,SHUFFLE,,N. CINCY,,CINCY,,,,,,,R,,,4,1,N
79,"01 NCCR OFF vs. MDUN (09/09/23), Play 009",9,,2,49,2,11,0,,12,TROLLY LT OX TEQUILA (CK. WOLF BIBLE),GUN,,TROLLY,,OX,,,,,,,WOLF BIBLE,TEQUILA,WOLF-JAGUAR BIBLE,,,,,,,R,,,4,0,N
80,"01 NCCR OFF vs. MDUN (09/09/23), Play 010",10,,,49,3,11,,,11,DAFFY LT Y-IN LOAD Y-DELAY STAR,GUN,,DAFFY,,,,,IN-Y,,,LOAD-ROCK,LOAD Y-DELAY STAR,,,DELAY-Y STAR,DELAY-Y,STAR,,,,X,,PENALTY,4,,
81,"01 NCCR OFF vs. MDUN (09/09/23), Play 011",11,,2,-46,3,16,7,,11,DAFFY LT Y-IN LOAD Y-DELAY STAR,GUN,,DAFFY,,,,,IN-Y,,,LOAD-ROCK,LOAD Y-DELAY STAR,,,DELAY-Y STAR,DELAY-Y,STAR,,,,P,C,,4,83,N
82,"01 NCCR OFF vs. MDUN (09/09/23), Play 012",12,,3,-35,0,10,1,,21,ROCKY FIB FRISCO RT A N. Q-PITT,EMPTY,X,FRISCO,,A,,X,,,ROCKY,,N. Q-PITT,,PITT Q,,,,,,,R,,,4,4,N
83,"01 NCCR OFF vs. MDUN (09/09/23), Play 013",13,,3,-36,2,9,1,,21,SHUFFLE NEAR LT S. PITT,GUN,,NEAR,,,,,,,SHUFFLE,PITT RENO,S. PITT VEGAS Y-SHALLOW X-STUTTER,,,,,,,,,R,,,4,13,N
84,"01 NCCR OFF vs. MDUN (09/09/23), Play 014",14,,3,-37,3,8,8,,11,PEEK DOLPHIN LT F-JACK Z-BULLS,GUN,,DOLPHIN,,,,,,,,JILL-JACK,F-JACK Z-BULLS,PEEK,,BULLS-Z,BULLS-Z,,,,,P,SC,,4,19,Y
85,"01 NCCR OFF vs. MDUN (09/09/23), Play 015",15,,3,-45,1,10,0,,12,TRIPS LT OX SPIDER FOLLOW,GUN,,TRIPS,,OX,,,,,,,SPIDER FOLLOW,,BEETLE-SPIDER FOLLOW,,,,,,,R,,,4,4,N
86,"01 NCCR OFF vs. MDUN (09/09/23), Play 016",16,,3,-45,2,10,2,,12,FLANK LT H-CREEP TIGER EDGE,GUN,,FLANK,,,,,CREEP-H,,,,TIGER EDGE,,BENGAL-TIGER EDGE,,,,,,,R,,,4,13,N
87,"01 NCCR OFF vs. MDUN (09/09/23), Play 017",17,,3,-47,3,8,0,,12,PEEK TROLLY LT QR-TIGER,GUN,,TROLLY,,,,,,,,,QR-TIGER,PEEK,BENGAL-TIGER QR,,,,,,,R,,,4,4,N
88,"01 NCCR OFF vs. MDUN (09/09/23), Play 018",18,,4,-25,0,10,9,,13-F,(P) DEUCE LT NASTY SPIDER SLICE,PISTOL,,DEUCE,,NASTY,,,,,,,SPIDER SLICE,,BEETLE-SPIDER SLICE,,,,,,,R,,,4,1,Y
89,"01 NCCR OFF vs. MDUN (09/09/23), Play 019",19,,4,-34,2,1,6,,13-F,(P) DEUCE LT NASTY SPIDER SLICE,PISTOL,,DEUCE,,NASTY,,,,,,,SPIDER SLICE,,BEETLE-SPIDER SLICE,,,,,,,R,,,4,0,Y
90,"01 NCCR OFF vs. MDUN (09/09/23), Play 020",20,,4,-40,1,10,5,,12,TROLLY RT SQUEEZE Z-JET N. Q-TAXI R-CUT,GUN,,TROLLY,,SQUEEZE,,,JET-Z,,,,N. Q TAXI R-CUT,,TAXI Q,,,,,,,R,,,4,4,Y
91,"01 NCCR OFF vs. MDUN (09/09/23), Play 021",21,,4,-45,2,5,0,,12,(P) FIB TRIX RT X-IN S. TEXAS MAX Z-SURF,PISTOL,X,TRIX,,,,,IN-X,,,TEXAS MAX,S. TEXAS MAX Z-SURF,,,SURF-Z,SURF-Z,,,,,P,I,DROP,4,19,N
92,"01 NCCR OFF vs. MDUN (09/09/23), Play 022",22,,4,-45,3,5,-3,,11,PEEK DOLPHIN RT F-JILL Z-BULLS,GUN,,DOLPHIN,,,,,,,,JILL-JACK,F-JILL Z-BULLS,PEEK,,BULLS-Z,BULLS-Z,,,,,P,SR,SACK,4,4,N
93,"01 NCCR OFF vs. MDUN (09/09/23), Play 023",23,,5,-25,0,10,3,,13-F,(P) FLANK LT TITE H-CREEP N. CINCY EDGE,PISTOL,,FLANK,,TITE,,,CREEP-H,,,,N. CINCY EDGE,,CINCY EDGE,,,,,,,R,,,4,1,N
94,"01 NCCR OFF vs. MDUN (09/09/23), Play 024",24,,5,-28,2,7,20,,12,TROUBLE LT H-IN S. PITT COVER Z-CRACK,GUN,,TROUBLE,,,,,IN-H,,,,S. PITT COVER Z-CRACK,,PITT COVER,,,,,,,R,,,4,4,Y
95,"01 NCCR OFF vs. MDUN (09/09/23), Play 025",25,,,-48,1,10,,,12,(U) TRIPS RT Z-IN N. PITT VEGAS Y-SHALLOW X-STUTTER,UNDER,,TRIPS,,,,,IN-Z,,,PITT RENO,N. PITT VEGAS Y-SHALLOW X-STUTTER,,,SHALLOW-Y STUTTER-X,SHALLOW-Y,STUTTER-X,,,,X,,PENALTY,4,,
96,"01 NCCR OFF vs. MDUN (09/09/23), Play 026",26,,5,-43,1,15,2,,12,(P) DEUCE LT Z-JET SPIDER VEGAS Y-CULDESAC,PISTOL,,DEUCE,,,,,JET-Z,,,BEETLE-SPIDER RENO,SPIDER VEGAS Y-CULDESAC,,,,,,,CULDESAC-Y,,P,C,,4,18,N
97,"01 NCCR OFF vs. MDUN (09/09/23), Play 027",27,,5,-45,2,13,0,,12,FLANK LT N. TEXAS MAX Z-CAFE,GUN,,FLANK,,,,,,,,TEXAS MAX,N. TEXAS MAX Z-CAFE,,,CAFE-Z,CAFE-Z,,,,,P,I,,4,13,N
