#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
174,"03 NCCR OFF vs. GAST (09/16/23), Play 044",44,,7,-25,3,23,17,,11,DAFFY LT Y-RT ROCK Z-BULLS,GUN,,DAFFY,,,,,RT-Y,,,LOAD-ROCK,ROCK Z-BULLS,,,BULLS-Z,BULLS-Z,,,,,P,C,,11,19,N
175,"03 NCCR OFF vs. GAST (09/16/23), Play 045",45,,8,-22,1,10,27,,11,Z-TANGO LT N. CALI Z-TSUNAMI,GUN,,TANGO,,,,,,,,CALI,N. CALI Z-TSUNAMI,,,TSUNAMI-Z,TSUNAMI-Z,,,,,P,C,,11,19,Y
176,"03 NCCR OFF vs. GAST (09/16/23), Play 046",46,,8,-49,1,10,-1,,11,Z-TOXIC RT SPIDER CUT,GUN,,TOXIC,,,,,,,,,SPIDER CUT,,BEETLE-SPIDER CUT,,,,,,,R,,,11,1,N
177,"03 NCCR OFF vs. GAST (09/16/23), Play 047",47,#76 BAD SET = QB PRESSURE,8,-48,2,11,-12,,11,DUAL RT NASTY F-JACK CLIPPER DRACO,GUN,,DUAL,,,,,,,,JILL-JACK,F-JACK CLIPPER DRACO,,,CLIPPER DRACO,CLIPPER,DRACO,,,,P,,SACK,11,11,N
178,"03 NCCR OFF vs. GAST (09/16/23), Play 048",48,,8,-36,3,23,14,,11,Z-TANGO RT JACK WRANGLE SPEAR,GUN,,TANGO,,,,,,,,JILL-JACK,JACK WRANGLE SPEAR,,,WRANGLE SPEAR,WRANGLE,SPEAR,,,,P,C,,11,86,N
179,"03 NCCR OFF vs. GAST (09/16/23), Play 049",49,,9,-12,1,10,18,,11,TRAIN LT OFF OX LION OLY,GUN,,TRAIN,,,,,,,,,LION OLY,,BEAR-LION OMAR,,,,,,,R,,,4,21,Y
180,"03 NCCR OFF vs. GAST (09/16/23), Play 050",50,,9,-30,1,10,12,,11,TRAIN RT OFF CLEVELAND MAG,GUN,,TRAIN,,,,,,,,,CLEVELAND MAG,,CLEVELAND-AKRON MAG,,,,,,,R,,,4,21,Y
181,"03 NCCR OFF vs. GAST (09/16/23), Play 051",51,,9,-42,1,10,58,,11,TRAIN LT OFF OX LION OLY,GUN,,TRAIN,,,,,,,,,LION OLY,,BEAR-LION OMAR,,,,,,,R,,,4,4,Y
182,"03 NCCR OFF vs. GAST (09/16/23), Play 052",52,,9,3,5,3,3,,11,H-TANGO LT H-JET IRON Y-SHOP,GUN,,TANGO,,,,,JET-H,,,,IRON Y-SHOP,,IRON-STEEL SHOP,SHOP-Y,SHOP-Y,,,,,R,,,4,18,Y
183,"03 NCCR OFF vs. GAST (09/16/23), Play 053",53,,10,3,5,3,,,12,ZAC Z-TANGO LT IRON R-SHOVEL EDGE Z-STRAIGHT COKE,GUN,,TANGO,,,,,AC-Z,,,,IRON R-SHOVEL EDGE Z-STRAIGHT COKE,,IRON-STEEL SHOVEL,SHOVEL-R,SHOVEL-R,,,STRAIGHT-Z,COKE,P,,PENALTY,4,19,
